dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
citeseer,0,8,attention,5.0,0.7,0.05,5.0,0.9280420541763306,False,fixed,,,,,,False,,,,,,17.0,118.0,0.6880000233650208,0.6679999828338623,237586.0,49.850969076156616
citeseer,1,8,attention,5.0,0.7,0.05,5.0,0.973027229309082,False,fixed,,,,,,False,,,,,,12.0,113.0,0.6859999895095825,0.6840000152587891,237586.0,61.16642618179321
citeseer,2,8,attention,5.0,0.7,0.05,5.0,0.9455181956291199,False,fixed,,,,,,False,,,,,,13.0,114.0,0.6840000152587891,0.6639999747276306,237586.0,61.86002588272095
citeseer,3,8,attention,5.0,0.7,0.05,5.0,0.9479714632034302,False,fixed,,,,,,False,,,,,,13.0,114.0,0.7080000042915344,0.6909999847412109,237586.0,82.67495107650757
citeseer,4,8,attention,5.0,0.7,0.05,5.0,0.9712986946105957,False,fixed,,,,,,False,,,,,,12.0,113.0,0.7080000042915344,0.6930000185966492,237586.0,70.85067629814148
citeseer,5,8,attention,5.0,0.7,0.05,5.0,0.9206763505935669,False,fixed,,,,,,False,,,,,,17.0,118.0,0.6859999895095825,0.6710000038146973,237586.0,91.69340348243713
citeseer,6,8,attention,5.0,0.7,0.05,5.0,0.9617071747779846,False,fixed,,,,,,False,,,,,,12.0,113.0,0.6800000071525574,0.671999990940094,237586.0,101.88471627235413
citeseer,7,8,attention,5.0,0.7,0.05,5.0,0.939437985420227,False,fixed,,,,,,False,,,,,,12.0,113.0,0.7059999704360962,0.6949999928474426,237586.0,79.78385424613953
citeseer,8,8,attention,5.0,0.7,0.05,5.0,0.9361906051635742,False,fixed,,,,,,False,,,,,,15.0,116.0,0.6660000085830688,0.6769999861717224,237586.0,73.52306604385376
citeseer,9,8,attention,5.0,0.7,0.05,5.0,0.9178940653800964,False,fixed,,,,,,False,,,,,,17.0,118.0,0.6980000138282776,0.6909999847412109,237586.0,93.22172546386719
