dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
pubmed,0,8,attention,5.0,0.7,0.05,5.0,0.9872586131095886,False,fixed,,,,,,False,,,,,,121.0,200.0,0.7940000295639038,0.7699999809265137,32393.0,195.18541812896729
pubmed,1,8,attention,5.0,0.7,0.05,5.0,0.9890307784080505,False,fixed,,,,,,False,,,,,,116.0,200.0,0.7979999780654907,0.7699999809265137,32393.0,260.18891406059265
pubmed,2,8,attention,5.0,0.7,0.05,5.0,0.9719343185424805,False,fixed,,,,,,False,,,,,,148.0,200.0,0.7919999957084656,0.7680000066757202,32393.0,254.01086807250977
pubmed,3,8,attention,5.0,0.7,0.05,5.0,0.9860716462135315,False,fixed,,,,,,False,,,,,,144.0,200.0,0.7979999780654907,0.7710000276565552,32393.0,246.96479654312134
pubmed,4,8,attention,5.0,0.7,0.05,5.0,0.9321936368942261,False,fixed,,,,,,False,,,,,,183.0,200.0,0.7919999957084656,0.7699999809265137,32393.0,233.66353392601013
pubmed,5,8,attention,5.0,0.7,0.05,5.0,0.989482581615448,False,fixed,,,,,,False,,,,,,136.0,200.0,0.7960000038146973,0.7710000276565552,32393.0,153.73419451713562
pubmed,6,8,attention,5.0,0.7,0.05,5.0,0.99755859375,False,fixed,,,,,,False,,,,,,85.0,186.0,0.7900000214576721,0.7689999938011169,32393.0,142.46150970458984
pubmed,7,8,attention,5.0,0.7,0.05,5.0,0.9965501427650452,False,fixed,,,,,,False,,,,,,106.0,200.0,0.7960000038146973,0.7850000262260437,32393.0,154.47823071479797
pubmed,8,8,attention,5.0,0.7,0.05,5.0,0.9913460612297058,False,fixed,,,,,,False,,,,,,126.0,200.0,0.7879999876022339,0.7549999952316284,32393.0,144.34742951393127
pubmed,9,8,attention,5.0,0.7,0.05,5.0,0.9486679434776306,False,fixed,,,,,,False,,,,,,179.0,200.0,0.7919999957084656,0.7609999775886536,32393.0,132.385844707489
