dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,0.1,0.5,0.05,0.8989192605018614,0.974497377872467,False,controller,,,,,,False,,,,,,36.0,137.0,0.8119999766349792,0.8140000104904175,92373.0,29.35560369491577
cora,1,8,attention,0.1,0.5,0.05,2.363451510667799,0.7393995523452759,False,controller,,,,,,False,,,,,,111.0,200.0,0.7860000133514404,0.7919999957084656,92373.0,52.150404930114746
cora,2,8,attention,0.1,0.5,0.05,1.1636995881795886,0.9684942364692688,False,controller,,,,,,False,,,,,,47.0,148.0,0.8140000104904175,0.8199999928474426,92373.0,38.77310872077942
cora,3,8,attention,0.1,0.5,0.05,2.5000371187925343,0.6305017471313477,False,controller,,,,,,False,,,,,,130.0,200.0,0.7940000295639038,0.800000011920929,92373.0,63.27607321739197
cora,4,8,attention,0.1,0.5,0.05,1.8460537910461423,0.8707365393638611,False,controller,,,,,,False,,,,,,80.0,181.0,0.8199999928474426,0.8119999766349792,92373.0,79.60609412193298
cora,5,8,attention,0.1,0.5,0.05,0.5374086976051332,0.9807634353637695,False,controller,,,,,,False,,,,,,21.0,122.0,0.8019999861717224,0.8169999718666077,92373.0,38.46538543701172
cora,6,8,attention,0.1,0.5,0.05,0.49181246161460873,0.9867907762527466,False,controller,,,,,,False,,,,,,19.0,120.0,0.7919999957084656,0.8199999928474426,92373.0,48.94926881790161
cora,7,8,attention,0.1,0.5,0.05,0.9895551681518555,0.9672663807868958,False,controller,,,,,,False,,,,,,40.0,141.0,0.7739999890327454,0.7789999842643738,92373.0,72.48802518844604
cora,8,8,attention,0.1,0.5,0.05,0.6090616166591645,0.9748020172119141,False,controller,,,,,,False,,,,,,24.0,125.0,0.8100000023841858,0.8109999895095825,92373.0,65.22949051856995
cora,9,8,attention,0.1,0.5,0.05,1.0389946550130844,0.9685185551643372,False,controller,,,,,,False,,,,,,42.0,143.0,0.8119999766349792,0.8289999961853027,92373.0,65.9746630191803
