dataset,seed,hidden_per_head,regularizer,lambda_fixed,lambda_target,lambda_eta,lambda_final,div_final,adaptive_lambda,lambda_schedule,prune_criterion,prune_ratio,pruned_acc_before_ft,checkpoint_source,criterion_div,distill,distill_alpha,distill_temperature,dense_test_acc,dense_lambda_final,dense_div_final,best_epoch,epochs_run,val_acc,test_acc,params,wall_time_s
cora,0,8,attention,5.0,0.7,0.05,5.0,0.9338377714157104,False,fixed,,,,,,False,,,,,,18.0,119.0,0.8019999861717224,0.8069999814033508,92373.0,49.485021114349365
cora,0,8,attention,0.01,0.7,0.05,0.01,0.9815873503684998,False,fixed,,,,,,False,,,,,,55.0,156.0,0.8140000104904175,0.8190000057220459,92373.0,64.37228155136108
cora,1,8,attention,5.0,0.7,0.05,5.0,0.3545484244823456,False,fixed,,,,,,False,,,,,,174.0,200.0,0.7960000038146973,0.7879999876022339,92373.0,77.31597566604614
cora,1,8,attention,0.01,0.7,0.05,0.01,0.9738062024116516,False,fixed,,,,,,False,,,,,,198.0,200.0,0.7919999957084656,0.7950000166893005,92373.0,73.13559865951538
cora,2,8,attention,5.0,0.7,0.05,5.0,0.7397798895835876,False,fixed,,,,,,False,,,,,,44.0,145.0,0.7960000038146973,0.8040000200271606,92373.0,56.45244479179382
cora,2,8,attention,0.01,0.7,0.05,0.01,0.9816338419914246,False,fixed,,,,,,False,,,,,,48.0,149.0,0.8159999847412109,0.824999988079071,92373.0,66.01379466056824
cora,3,8,attention,5.0,0.7,0.05,5.0,0.33769336342811584,False,fixed,,,,,,False,,,,,,198.0,200.0,0.7940000295639038,0.8029999732971191,92373.0,103.82339477539062
cora,3,8,attention,0.01,0.7,0.05,0.01,0.9710732698440552,False,fixed,,,,,,False,,,,,,93.0,194.0,0.7960000038146973,0.8100000023841858,92373.0,97.83457565307617
cora,4,8,attention,5.0,0.7,0.05,5.0,0.9561137557029724,False,fixed,,,,,,False,,,,,,14.0,115.0,0.8199999928474426,0.8029999732971191,92373.0,57.292109966278076
cora,4,8,attention,0.01,0.7,0.05,0.01,0.981714129447937,False,fixed,,,,,,False,,,,,,23.0,124.0,0.8180000185966492,0.8130000233650208,92373.0,60.44713759422302
cora,5,8,attention,0.01,0.7,0.05,0.01,0.9823318719863892,False,fixed,,,,,,False,,,,,,21.0,122.0,0.8019999861717224,0.8180000185966492,92373.0,51.060635805130005
cora,5,8,attention,5.0,0.7,0.05,5.0,0.6855234503746033,False,fixed,,,,,,False,,,,,,44.0,145.0,0.8019999861717224,0.8040000200271606,92373.0,65.94351506233215
cora,6,8,attention,0.01,0.7,0.05,0.01,0.9872568249702454,False,fixed,,,,,,False,,,,,,20.0,121.0,0.7940000295639038,0.8209999799728394,92373.0,43.28752660751343
cora,6,8,attention,5.0,0.7,0.05,5.0,0.8986096382141113,False,fixed,,,,,,False,,,,,,23.0,124.0,0.7900000214576721,0.8309999704360962,92373.0,44.06379723548889
